start,end,name
11873,14409,DDX11L1
14361,29370,WASH7P
17368,17436,MIR6859-1
29773,35418,MIR1302-2HG
30365,30503,MIR1302-2
34610,36081,FAM138A
65418,71585,OR4F5
95221,107727,LOC124903816
95221,107727,LOC124903816
120848,175246,LOC124900384
134772,140566,LOC729737
146299,175246,LOC124900384
146300,175246,LOC124900384
146434,175246,LOC124900384
146469,175246,LOC124900384
149033,175246,LOC124900384
149034,175246,LOC124900384
149034,175246,LOC124900384
151856,175246,LOC124900384
153075,175246,LOC124900384
153673,175246,LOC124900384
153719,175246,LOC124900384
158517,175246,LOC124900384
177307,180105,LOC124903814
177307,180105,LOC124903814
177307,180105,LOC124903814
182387,184878,DDX11L17
184915,199875,WASH9P
187890,187958,MIR6859-2
262718,296312,LOC127239154
262718,296312,LOC127239154
262718,297504,LOC127239154
273222,284291,LOC124903815
273222,284291,LOC124903815
350705,358545,LOC124900618
365133,382235,LOC112268260
450739,451678,OR4F29
490755,495445,LOC100132287
516375,516479,LOC124904706
586286,611297,LOC105378947
627379,629009,LOC101928626
632614,632685,MIR12136
676075,698945,OR4F16
676075,711792,OR4F16
676075,711792,OR4F16
676075,720101,OR4F16
685715,686654,OR4F16
725758,778634,LOC100288069
778797,810065,LINC01409
791597,799081,LOC124903817
817370,819834,FAM87B
826205,827522,LINC00115
827590,843604,LINC01128
827590,859446,LINC01128
827590,859446,LINC01128
827590,859446,LINC01128
827590,859446,LINC01128
827797,859446,LINC01128
860181,865841,LOC107984850
860226,868202,LOC107984850
868070,876802,FAM41C
904810,918155,LOC284600
904810,918155,LOC284600
904810,918155,LOC284600
905114,918155,LOC284600
905114,918155,LOC284600
905114,918155,LOC284600
905114,921019,LOC284600
905114,921019,LOC284600
916817,919692,LINC02593
916817,919692,LINC02593
920242,925604,LOC107985728
923922,944574,SAMD11
923922,944574,SAMD11
925730,944574,SAMD11
944202,959256,NOC2L
960583,965719,KLHL17
961120,965719,KLHL17
961263,963416,KLHL17
961267,964441,KLHL17
961268,965719,KLHL17
961269,965719,KLHL17
966481,972380,PLEKHN1
966481,973320,PLEKHN1
966481,973601,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
966481,975865,PLEKHN1
975197,981173,PERM1
975197,982093,PERM1
975197,982093,PERM1
975197,982093,PERM1
975197,982093,PERM1
998963,1000097,HES4
998963,1000097,HES4
998963,1000097,HES4
998963,1000097,HES4
998963,1000097,HES4
1013496,1014540,ISG15
1020119,1056116,AGRN
1020119,1056116,AGRN
1020119,1056116,AGRN
1020119,1056116,AGRN
1020119,1056116,AGRN
1033992,1056116,AGRN
1041775,1056116,AGRN
1042176,1056116,AGRN
1059733,1066453,LOC100288175
1065634,1069337,LOC105378948
1065634,1069337,LOC105378948
1070966,1074306,RNF223
1081822,1116089,C1orf159
1081822,1116089,C1orf159
1081822,1116089,C1orf159
1122902,1128984,LOC124903819
1128683,1161940,LOC124903820
1137016,1144056,LINC01342
1157688,1161940,LOC124903820
1162876,1170338,MIR200BHG
1167103,1167198,MIR200B
1167862,1167952,MIR200A
1169004,1169087,MIR429
1173055,1179555,TTLL10-AS1
1173879,1185097,TTLL10
1173879,1185426,TTLL10
1173879,1185864,TTLL10
1173879,1185864,TTLL10
1173879,1195035,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1173879,1197936,TTLL10
1176234,1197936,TTLL10
1179680,1185864,TTLL10
1179680,1197936,TTLL10
1203507,1206592,TNFRSF18
1203507,1206592,TNFRSF18
1203507,1206592,TNFRSF18
1203507,1206592,TNFRSF18
1211339,1213058,TNFRSF4
1211339,1213750,TNFRSF4
1211339,1213750,TNFRSF4
1211339,1214153,TNFRSF4
1211339,1214153,TNFRSF4
1212055,1214153,TNFRSF4
1216930,1232001,SDF4
1216930,1232001,SDF4
1216930,1232001,SDF4
1216930,1232001,SDF4
1218933,1232001,SDF4
1232236,1235041,B3GALT6
1242452,1246722,C1QTNF12
1242452,1246722,C1QTNF12
